case_id,old_correct,new_correct,old_output_tokens,new_output_tokens,transition
gsm8k_0341,False,True,256,163,wrong_to_correct
gsm8k_0342,False,True,256,264,wrong_to_correct
gsm8k_0349,False,True,256,281,wrong_to_correct
gsm8k_0350,False,True,256,265,wrong_to_correct
gsm8k_0354,False,True,256,313,wrong_to_correct
gsm8k_0355,False,True,256,242,wrong_to_correct
gsm8k_0358,False,True,256,289,wrong_to_correct
gsm8k_0360,False,True,256,298,wrong_to_correct
gsm8k_0362,True,True,256,272,correct_to_correct
gsm8k_0364,False,True,256,281,wrong_to_correct
gsm8k_0368,False,True,256,310,wrong_to_correct
gsm8k_0370,False,True,256,323,wrong_to_correct
gsm8k_0378,False,True,256,231,wrong_to_correct
gsm8k_0381,False,False,256,385,wrong_to_wrong
gsm8k_0384,False,True,256,327,wrong_to_correct
gsm8k_0385,False,True,256,201,wrong_to_correct
gsm8k_0393,False,True,256,287,wrong_to_correct
gsm8k_0403,False,True,256,263,wrong_to_correct
gsm8k_0406,False,True,256,304,wrong_to_correct
gsm8k_0408,False,True,256,327,wrong_to_correct
gsm8k_0410,False,True,256,282,wrong_to_correct
gsm8k_0411,True,True,256,265,correct_to_correct
gsm8k_0414,False,True,256,296,wrong_to_correct
gsm8k_0416,False,True,256,407,wrong_to_correct
gsm8k_0417,True,True,256,256,correct_to_correct
gsm8k_0423,False,True,256,236,wrong_to_correct
gsm8k_0424,False,True,256,336,wrong_to_correct
gsm8k_0426,False,True,256,270,wrong_to_correct
gsm8k_0428,False,True,256,374,wrong_to_correct
gsm8k_0429,False,False,256,396,wrong_to_wrong
gsm8k_0435,False,True,256,271,wrong_to_correct
gsm8k_0439,False,True,256,239,wrong_to_correct
gsm8k_0440,False,True,256,280,wrong_to_correct
gsm8k_0444,False,True,256,365,wrong_to_correct
gsm8k_0446,False,True,256,326,wrong_to_correct
gsm8k_0449,True,True,256,252,correct_to_correct
gsm8k_0451,True,True,256,317,correct_to_correct
gsm8k_0454,False,True,256,294,wrong_to_correct
gsm8k_0456,False,True,256,260,wrong_to_correct
gsm8k_0461,True,True,256,272,correct_to_correct
gsm8k_0467,False,False,256,282,wrong_to_wrong
gsm8k_0478,True,True,256,282,correct_to_correct
gsm8k_0480,False,True,256,256,wrong_to_correct
gsm8k_0494,False,True,256,319,wrong_to_correct
gsm8k_0495,False,False,256,316,wrong_to_wrong
gsm8k_0505,True,True,256,245,correct_to_correct
gsm8k_0506,True,True,256,438,correct_to_correct
gsm8k_0509,False,True,256,346,wrong_to_correct
gsm8k_0511,False,False,256,311,wrong_to_wrong
gsm8k_0519,False,True,256,298,wrong_to_correct
gsm8k_0528,False,True,256,365,wrong_to_correct
gsm8k_0529,False,True,256,321,wrong_to_correct
gsm8k_0531,False,True,256,282,wrong_to_correct
gsm8k_0533,False,True,256,288,wrong_to_correct
gsm8k_0534,False,True,256,307,wrong_to_correct
gsm8k_0535,True,True,256,365,correct_to_correct
gsm8k_0542,False,True,256,289,wrong_to_correct
gsm8k_0543,False,True,256,286,wrong_to_correct
gsm8k_0551,False,True,256,291,wrong_to_correct
gsm8k_0565,False,True,256,262,wrong_to_correct
gsm8k_0571,False,True,256,303,wrong_to_correct
gsm8k_0577,True,True,256,257,correct_to_correct
gsm8k_0579,False,True,256,297,wrong_to_correct
gsm8k_0581,False,True,256,294,wrong_to_correct
gsm8k_0582,True,True,256,261,correct_to_correct
gsm8k_0585,False,True,256,300,wrong_to_correct
gsm8k_0586,True,True,256,256,correct_to_correct
gsm8k_0587,False,True,256,264,wrong_to_correct
gsm8k_0588,False,True,256,382,wrong_to_correct
gsm8k_0590,False,True,256,299,wrong_to_correct
gsm8k_0591,False,False,256,268,wrong_to_wrong
gsm8k_0597,True,True,256,256,correct_to_correct
gsm8k_0602,False,True,256,277,wrong_to_correct
gsm8k_0604,False,True,256,339,wrong_to_correct
gsm8k_0606,False,True,256,299,wrong_to_correct
gsm8k_0612,False,True,256,425,wrong_to_correct
gsm8k_0616,True,True,256,269,correct_to_correct
gsm8k_0623,True,True,256,265,correct_to_correct
gsm8k_0627,True,True,256,256,correct_to_correct
gsm8k_0628,True,True,256,240,correct_to_correct
gsm8k_0630,False,True,256,277,wrong_to_correct
gsm8k_0636,False,True,256,294,wrong_to_correct
gsm8k_0639,True,True,256,270,correct_to_correct
gsm8k_0641,False,False,256,388,wrong_to_wrong
gsm8k_0642,False,False,256,356,wrong_to_wrong
gsm8k_0643,False,True,256,318,wrong_to_correct
gsm8k_0658,True,True,256,313,correct_to_correct
gsm8k_0660,False,True,256,279,wrong_to_correct
gsm8k_0676,False,False,256,409,wrong_to_wrong
gsm8k_0677,True,True,256,262,correct_to_correct
gsm8k_0682,False,True,256,346,wrong_to_correct
gsm8k_0683,True,True,256,260,correct_to_correct
gsm8k_0684,False,True,256,320,wrong_to_correct
gsm8k_0688,False,True,256,352,wrong_to_correct
gsm8k_0690,False,True,256,346,wrong_to_correct
gsm8k_0692,True,True,256,306,correct_to_correct
gsm8k_0693,False,True,256,295,wrong_to_correct
gsm8k_0694,False,True,256,275,wrong_to_correct
gsm8k_0697,False,True,256,315,wrong_to_correct
gsm8k_0710,False,True,256,264,wrong_to_correct
gsm8k_0712,True,True,256,292,correct_to_correct
gsm8k_0717,True,True,256,269,correct_to_correct
gsm8k_0722,False,True,256,406,wrong_to_correct
gsm8k_0725,False,True,256,303,wrong_to_correct
gsm8k_0727,False,True,256,285,wrong_to_correct
gsm8k_0730,False,True,256,260,wrong_to_correct
gsm8k_0738,True,True,256,217,correct_to_correct
gsm8k_0746,True,True,256,263,correct_to_correct
gsm8k_0751,False,True,256,259,wrong_to_correct
gsm8k_0755,False,True,256,410,wrong_to_correct
gsm8k_0758,False,True,256,342,wrong_to_correct
gsm8k_0761,True,True,256,266,correct_to_correct
gsm8k_0773,False,True,256,289,wrong_to_correct
gsm8k_0778,False,True,256,436,wrong_to_correct
gsm8k_0779,True,True,256,284,correct_to_correct
gsm8k_0780,True,True,256,302,correct_to_correct
gsm8k_0781,False,True,256,284,wrong_to_correct
gsm8k_0784,False,True,256,310,wrong_to_correct
gsm8k_0785,False,True,256,263,wrong_to_correct
gsm8k_0797,False,False,256,346,wrong_to_wrong
gsm8k_0799,False,True,256,316,wrong_to_correct
gsm8k_0802,True,True,256,266,correct_to_correct
gsm8k_0803,False,True,256,394,wrong_to_correct
gsm8k_0804,False,True,256,279,wrong_to_correct
gsm8k_0807,False,True,256,313,wrong_to_correct
gsm8k_0813,False,True,256,304,wrong_to_correct
gsm8k_0815,False,False,256,445,wrong_to_wrong
gsm8k_0816,False,True,256,362,wrong_to_correct
gsm8k_0828,False,True,256,300,wrong_to_correct
gsm8k_0830,True,True,256,261,correct_to_correct
gsm8k_0831,False,True,256,321,wrong_to_correct
gsm8k_0832,False,True,256,335,wrong_to_correct
gsm8k_0834,False,True,256,281,wrong_to_correct
gsm8k_0836,False,False,256,334,wrong_to_wrong
gsm8k_0838,False,True,256,304,wrong_to_correct
gsm8k_0845,False,True,256,297,wrong_to_correct
gsm8k_0848,False,True,256,221,wrong_to_correct
gsm8k_0856,False,True,256,284,wrong_to_correct
gsm8k_0859,False,True,256,327,wrong_to_correct
gsm8k_0862,False,True,256,293,wrong_to_correct
gsm8k_0863,True,True,256,257,correct_to_correct
gsm8k_0872,False,True,256,277,wrong_to_correct
gsm8k_0873,True,True,256,251,correct_to_correct
gsm8k_0877,False,True,256,276,wrong_to_correct
gsm8k_0878,False,True,256,279,wrong_to_correct
gsm8k_0883,False,True,256,341,wrong_to_correct
gsm8k_0891,True,True,256,273,correct_to_correct
gsm8k_0892,False,True,256,251,wrong_to_correct
gsm8k_0893,True,True,256,258,correct_to_correct
gsm8k_0895,False,True,256,305,wrong_to_correct
gsm8k_0902,False,False,256,311,wrong_to_wrong
gsm8k_0904,True,True,256,265,correct_to_correct
gsm8k_0910,False,True,256,275,wrong_to_correct
gsm8k_0914,False,True,256,266,wrong_to_correct
gsm8k_0917,False,True,256,247,wrong_to_correct
gsm8k_0920,False,True,256,307,wrong_to_correct
gsm8k_0921,True,True,256,265,correct_to_correct
gsm8k_0924,False,True,256,196,wrong_to_correct
gsm8k_0927,False,True,256,326,wrong_to_correct
gsm8k_0928,False,True,256,282,wrong_to_correct
gsm8k_0929,False,True,256,245,wrong_to_correct
gsm8k_0930,True,True,256,256,correct_to_correct
gsm8k_0932,False,True,256,289,wrong_to_correct
gsm8k_0936,False,True,256,300,wrong_to_correct
gsm8k_0937,False,True,256,295,wrong_to_correct
gsm8k_0939,False,True,256,290,wrong_to_correct
gsm8k_0946,False,True,256,368,wrong_to_correct
gsm8k_0949,True,True,256,250,correct_to_correct
gsm8k_0953,False,False,256,310,wrong_to_wrong
gsm8k_0954,False,False,256,267,wrong_to_wrong
gsm8k_0960,True,True,256,220,correct_to_correct
gsm8k_0961,False,True,256,365,wrong_to_correct
gsm8k_0964,False,True,256,350,wrong_to_correct
gsm8k_0966,False,True,256,330,wrong_to_correct
gsm8k_0967,True,True,256,262,correct_to_correct
gsm8k_0976,True,True,256,269,correct_to_correct
gsm8k_0977,False,True,256,471,wrong_to_correct
gsm8k_0980,False,True,256,356,wrong_to_correct
gsm8k_0985,False,False,256,416,wrong_to_wrong
gsm8k_0987,False,True,256,289,wrong_to_correct
gsm8k_0988,True,True,256,267,correct_to_correct
gsm8k_0990,False,True,256,309,wrong_to_correct
gsm8k_0992,True,True,256,256,correct_to_correct
gsm8k_0994,False,True,256,282,wrong_to_correct
gsm8k_0995,False,True,256,194,wrong_to_correct
gsm8k_1000,False,True,256,266,wrong_to_correct
gsm8k_1001,False,True,256,320,wrong_to_correct
gsm8k_1004,False,True,256,329,wrong_to_correct
gsm8k_1007,False,True,256,289,wrong_to_correct
gsm8k_1009,True,True,256,278,correct_to_correct
gsm8k_1010,False,True,256,349,wrong_to_correct
gsm8k_1012,False,True,256,480,wrong_to_correct
gsm8k_1013,False,False,256,494,wrong_to_wrong
gsm8k_1015,True,False,256,337,correct_to_wrong
gsm8k_1017,False,False,256,300,wrong_to_wrong
gsm8k_1022,False,True,256,287,wrong_to_correct
gsm8k_1023,False,True,256,332,wrong_to_correct
gsm8k_1030,False,True,256,305,wrong_to_correct
gsm8k_1034,False,True,256,157,wrong_to_correct
gsm8k_1038,False,True,256,283,wrong_to_correct
gsm8k_1039,False,True,256,330,wrong_to_correct
gsm8k_1043,True,False,256,335,correct_to_wrong
gsm8k_1048,False,True,256,248,wrong_to_correct
gsm8k_1049,False,False,256,296,wrong_to_wrong
gsm8k_1055,False,True,256,277,wrong_to_correct
gsm8k_1061,False,True,256,301,wrong_to_correct
gsm8k_1063,False,True,256,297,wrong_to_correct
gsm8k_1068,False,True,256,281,wrong_to_correct
gsm8k_1072,False,True,256,241,wrong_to_correct
gsm8k_1073,False,False,256,362,wrong_to_wrong
gsm8k_1074,False,True,256,240,wrong_to_correct
gsm8k_1078,False,True,256,362,wrong_to_correct
gsm8k_1080,False,True,256,294,wrong_to_correct
gsm8k_1083,False,True,256,285,wrong_to_correct
gsm8k_1084,False,True,256,278,wrong_to_correct
gsm8k_1087,False,True,256,374,wrong_to_correct
gsm8k_1089,False,True,256,304,wrong_to_correct
gsm8k_1090,False,True,256,279,wrong_to_correct
gsm8k_1094,False,True,256,304,wrong_to_correct
gsm8k_1095,False,True,256,335,wrong_to_correct
gsm8k_1096,True,True,256,257,correct_to_correct
gsm8k_1097,False,True,256,289,wrong_to_correct
gsm8k_1103,False,True,256,315,wrong_to_correct
gsm8k_1106,False,True,256,327,wrong_to_correct
gsm8k_1119,False,True,256,303,wrong_to_correct
gsm8k_1123,False,True,256,412,wrong_to_correct
gsm8k_1130,False,True,256,306,wrong_to_correct
gsm8k_1131,False,True,256,305,wrong_to_correct
gsm8k_1133,False,True,256,315,wrong_to_correct
gsm8k_1134,False,True,256,359,wrong_to_correct
gsm8k_1138,False,True,256,310,wrong_to_correct
gsm8k_1139,False,True,256,277,wrong_to_correct
gsm8k_1141,False,True,256,287,wrong_to_correct
gsm8k_1146,False,True,256,312,wrong_to_correct
gsm8k_1148,True,True,256,267,correct_to_correct
gsm8k_1159,True,True,256,251,correct_to_correct
gsm8k_1161,True,True,256,269,correct_to_correct
gsm8k_1162,False,False,256,297,wrong_to_wrong
gsm8k_1166,True,True,256,278,correct_to_correct
gsm8k_1167,False,True,256,384,wrong_to_correct
gsm8k_1169,False,True,256,322,wrong_to_correct
gsm8k_1172,False,True,256,294,wrong_to_correct
gsm8k_1175,False,True,256,274,wrong_to_correct
gsm8k_1177,False,False,256,320,wrong_to_wrong
gsm8k_1182,False,True,256,382,wrong_to_correct
gsm8k_1183,True,True,256,271,correct_to_correct
gsm8k_1184,False,True,256,238,wrong_to_correct
gsm8k_1186,True,True,256,243,correct_to_correct
gsm8k_1191,False,True,256,510,wrong_to_correct
gsm8k_1194,False,True,256,271,wrong_to_correct
gsm8k_1197,True,True,256,264,correct_to_correct
gsm8k_1198,False,True,256,324,wrong_to_correct
gsm8k_1199,False,True,256,294,wrong_to_correct
gsm8k_1210,False,True,256,299,wrong_to_correct
gsm8k_1213,False,True,256,285,wrong_to_correct
gsm8k_1216,False,True,256,370,wrong_to_correct
gsm8k_1218,False,True,256,377,wrong_to_correct
gsm8k_1219,False,True,256,236,wrong_to_correct
gsm8k_1227,False,True,256,297,wrong_to_correct
gsm8k_1229,False,True,256,316,wrong_to_correct
gsm8k_1236,False,True,256,235,wrong_to_correct
gsm8k_1241,False,True,256,272,wrong_to_correct
gsm8k_1253,False,True,256,261,wrong_to_correct
gsm8k_1257,False,True,256,274,wrong_to_correct
gsm8k_1264,False,True,256,267,wrong_to_correct
gsm8k_1265,False,True,256,313,wrong_to_correct
gsm8k_1266,False,True,256,288,wrong_to_correct
gsm8k_1271,False,True,256,276,wrong_to_correct
gsm8k_1282,False,True,256,287,wrong_to_correct
gsm8k_1285,True,True,256,266,correct_to_correct
gsm8k_1289,False,False,256,325,wrong_to_wrong
gsm8k_1299,False,True,256,244,wrong_to_correct
gsm8k_1302,False,True,256,370,wrong_to_correct
gsm8k_1304,False,True,256,307,wrong_to_correct
gsm8k_1307,False,True,256,301,wrong_to_correct
gsm8k_1311,False,True,256,385,wrong_to_correct
gsm8k_1315,True,True,256,262,correct_to_correct
gsm8k_1318,True,True,256,263,correct_to_correct
